ROI,Sequence,Approach,uFA
Splenium,NowLteDetuned,QTI,0.8026809
Splenium,NowLteDetuned,QTI,0.7095322
Splenium,NowLteDetuned,QTI,0.70418626
Splenium,NowLteDetuned,QTI,0.6927276
Splenium,NowLteDetuned,QTI,0.67971206
Splenium,NowLteDetuned,QTI,0.63326836
Splenium,NowLteDetuned,QTI,0.4964139
Splenium,NowLteDetuned,QTI,0.6940296
Splenium,NowLteDetuned,QTI,0.68183726
Splenium,NowLteDetuned,QTI,0.66076773
Splenium,NowLteDetuned,QTI,0.6996451
Splenium,NowLteDetuned,QTI,0.7130253
Splenium,NowLteDetuned,QTI,0.6939068
Splenium,NowLteDetuned,QTI,0.6389328
Splenium,NowLteDetuned,QTI,0.5024537
Splenium,NowLteDetuned,QTI,0.48822775
Splenium,NowLteDetuned,QTI,0.5669985
Splenium,NowLteDetuned,QTI,0.6769437
Splenium,NowLteDetuned,QTI,0.72976255
Splenium,NowLteDetuned,QTI,0.6945519
Splenium,NowLteDetuned,QTI,0.63646495
Splenium,NowLteDetuned,QTI,0.5344459
Splenium,NowLteDetuned,QTI,0.4772639
Splenium,NowLteDetuned,QTI,0.46149838
Splenium,NowLteDetuned,QTI,0.70003104
Splenium,NowLteDetuned,QTI,0.7715733
Splenium,NowLteDetuned,QTI,0.71373993
Splenium,NowLteDetuned,QTI,0.6500476
Splenium,NowLteDetuned,QTI,0.57228035
Splenium,NowLteDetuned,QTI,0.5374427
Splenium,NowLteDetuned,QTI,0.53125244
Splenium,NowLteDetuned,QTI,0.8254249
Splenium,NowLteDetuned,QTI,0.74789864
Splenium,NowLteDetuned,QTI,0.68435955
Splenium,NowLteDetuned,QTI,0.6257277
Splenium,NowLteDetuned,QTI,0.589218
Splenium,NowLteDetuned,QTI,0.56387657
Splenium,NowLteDetuned,QTI,0.74638057
Splenium,NowLteDetuned,QTI,0.70186675
Splenium,NowLteDetuned,QTI,0.6810847
Splenium,NowLteDetuned,QTI,0.63608384
Splenium,NowLteDetuned,QTI,0.58618826
Splenium,NowLteDetuned,QTI,0.72247386
Splenium,NowLteDetuned,QTI,0.71174884
Splenium,NowLteDetuned,QTI,0.742417
Splenium,NowLteDetuned,QTI,0.6754093
Splenium,NowLteDetuned,QTI,0.5890834
Splenium,NowLteDetuned,QTI,0.794538
Splenium,NowLteDetuned,QTI,0.7831694
Splenium,NowLteDetuned,QTI,0.78382975
Splenium,NowLteDetuned,QTI,0.704228
Splenium,NowLteDetuned,QTI,0.6105242
Splenium,NowLteDetuned,QTI,0.875444
Splenium,NowLteDetuned,QTI,0.7995949
Splenium,NowLteDetuned,QTI,0.7301213
