ROI,Sequence,Approach,MKi
Splenium,NowLteDetuned,QTI,0.22148162
Splenium,NowLteDetuned,QTI,0.16309436
Splenium,NowLteDetuned,QTI,0.17541549
Splenium,NowLteDetuned,QTI,0.21361671
Splenium,NowLteDetuned,QTI,0.2636026
Splenium,NowLteDetuned,QTI,0.31062663
Splenium,NowLteDetuned,QTI,0.32296902
Splenium,NowLteDetuned,QTI,0.32760382
Splenium,NowLteDetuned,QTI,0.29208213
Splenium,NowLteDetuned,QTI,0.26143715
Splenium,NowLteDetuned,QTI,0.28027365
Splenium,NowLteDetuned,QTI,0.3027163
Splenium,NowLteDetuned,QTI,0.33348873
Splenium,NowLteDetuned,QTI,0.35921457
Splenium,NowLteDetuned,QTI,0.35046932
Splenium,NowLteDetuned,QTI,0.34062767
Splenium,NowLteDetuned,QTI,0.3335015
Splenium,NowLteDetuned,QTI,0.18693809
Splenium,NowLteDetuned,QTI,0.27702358
Splenium,NowLteDetuned,QTI,0.3161827
Splenium,NowLteDetuned,QTI,0.35005397
Splenium,NowLteDetuned,QTI,0.346172
Splenium,NowLteDetuned,QTI,0.34280956
Splenium,NowLteDetuned,QTI,0.33780593
Splenium,NowLteDetuned,QTI,0.13535824
Splenium,NowLteDetuned,QTI,0.2060894
Splenium,NowLteDetuned,QTI,0.27740714
Splenium,NowLteDetuned,QTI,0.2996996
Splenium,NowLteDetuned,QTI,0.32532364
Splenium,NowLteDetuned,QTI,0.33391047
Splenium,NowLteDetuned,QTI,0.3395278
Splenium,NowLteDetuned,QTI,0.34094888
Splenium,NowLteDetuned,QTI,0.24665663
Splenium,NowLteDetuned,QTI,0.28732115
Splenium,NowLteDetuned,QTI,0.27320123
Splenium,NowLteDetuned,QTI,0.27750558
Splenium,NowLteDetuned,QTI,0.3050236
Splenium,NowLteDetuned,QTI,0.32530728
Splenium,NowLteDetuned,QTI,0.33779025
Splenium,NowLteDetuned,QTI,0.3384764
Splenium,NowLteDetuned,QTI,0.3313255
Splenium,NowLteDetuned,QTI,0.23079516
Splenium,NowLteDetuned,QTI,0.23285213
Splenium,NowLteDetuned,QTI,0.2940492
Splenium,NowLteDetuned,QTI,0.32651305
Splenium,NowLteDetuned,QTI,0.33685735
Splenium,NowLteDetuned,QTI,0.3347723
Splenium,NowLteDetuned,QTI,0.32266438
Splenium,NowLteDetuned,QTI,0.1964514
Splenium,NowLteDetuned,QTI,0.30640733
Splenium,NowLteDetuned,QTI,0.34542918
Splenium,NowLteDetuned,QTI,0.3347965
Splenium,NowLteDetuned,QTI,0.3299354
Splenium,NowLteDetuned,QTI,0.32658368
Splenium,NowLteDetuned,QTI,0.3025692
Splenium,NowLteDetuned,QTI,0.34242862
Splenium,NowLteDetuned,QTI,0.32865873
Splenium,NowLteDetuned,QTI,0.32710502
Splenium,NowLteDetuned,QTI,0.3303531
Splenium,NowLteDetuned,QTI,0.29068863
Splenium,NowLteDetuned,QTI,0.326598
Splenium,NowLteDetuned,QTI,0.32438096
Splenium,NowLteDetuned,QTI,0.32855314
Splenium,NowLteDetuned,QTI,0.33530563
Splenium,NowLteDetuned,QTI,0.21046758
Splenium,NowLteDetuned,QTI,0.25309435
Splenium,NowLteDetuned,QTI,0.28681737
Splenium,NowLteDetuned,QTI,0.300913
Splenium,NowLteDetuned,QTI,0.3147367
Splenium,NowLteDetuned,QTI,0.15284312
Splenium,NowLteDetuned,QTI,0.23113953
