ROI,Sequence,Approach,FA
Splenium,dti,dti,0.76684004
Splenium,dti,dti,0.82516307
Splenium,dti,dti,0.86291045
Splenium,dti,dti,0.8866575
Splenium,dti,dti,0.8545298
Splenium,dti,dti,0.80367696
Splenium,dti,dti,0.7815868
Splenium,dti,dti,0.7646725
Splenium,dti,dti,0.74287283
Splenium,dti,dti,0.7186536
Splenium,dti,dti,0.6740154
Splenium,dti,dti,0.62451786
Splenium,dti,dti,0.5591374
Splenium,dti,dti,0.49299332
Splenium,dti,dti,0.42642915
Splenium,dti,dti,0.38690633
Splenium,dti,dti,0.8013769
Splenium,dti,dti,0.8590172
Splenium,dti,dti,0.85202664
Splenium,dti,dti,0.8232561
Splenium,dti,dti,0.77413887
Splenium,dti,dti,0.7230265
Splenium,dti,dti,0.7109384
Splenium,dti,dti,0.6970303
Splenium,dti,dti,0.66586244
Splenium,dti,dti,0.6326803
Splenium,dti,dti,0.5936477
Splenium,dti,dti,0.5363074
Splenium,dti,dti,0.44800833
Splenium,dti,dti,0.39049757
Splenium,dti,dti,0.7431446
Splenium,dti,dti,0.7983085
Splenium,dti,dti,0.84996927
Splenium,dti,dti,0.7980466
Splenium,dti,dti,0.73212636
Splenium,dti,dti,0.71814996
Splenium,dti,dti,0.7036331
Splenium,dti,dti,0.6807256
Splenium,dti,dti,0.65793055
Splenium,dti,dti,0.6358451
Splenium,dti,dti,0.5868001
Splenium,dti,dti,0.4923622
Splenium,dti,dti,0.4225116
Splenium,dti,dti,0.56967926
Splenium,dti,dti,0.7123276
Splenium,dti,dti,0.88368475
Splenium,dti,dti,0.84278023
Splenium,dti,dti,0.77371335
Splenium,dti,dti,0.75013876
Splenium,dti,dti,0.72796065
Splenium,dti,dti,0.70994025
Splenium,dti,dti,0.6938151
Splenium,dti,dti,0.68341196
Splenium,dti,dti,0.64283913
Splenium,dti,dti,0.55243194
Splenium,dti,dti,0.47423849
Splenium,dti,dti,0.83956695
Splenium,dti,dti,0.83426523
Splenium,dti,dti,0.78852665
Splenium,dti,dti,0.7484349
Splenium,dti,dti,0.7391984
Splenium,dti,dti,0.7262899
Splenium,dti,dti,0.70383734
Splenium,dti,dti,0.6627724
Splenium,dti,dti,0.5911659
Splenium,dti,dti,0.5193059
Splenium,dti,dti,0.81208473
Splenium,dti,dti,0.8944393
Splenium,dti,dti,0.8241408
Splenium,dti,dti,0.76461923
Splenium,dti,dti,0.76704764
Splenium,dti,dti,0.7571423
Splenium,dti,dti,0.7146207
Splenium,dti,dti,0.66957605
Splenium,dti,dti,0.6201053
Splenium,dti,dti,0.55992573
Splenium,dti,dti,0.48892447
Splenium,dti,dti,0.3953106
Splenium,dti,dti,0.78296554
Splenium,dti,dti,0.7769457
Splenium,dti,dti,0.77770096
Splenium,dti,dti,0.7699131
Splenium,dti,dti,0.7381715
Splenium,dti,dti,0.70152605
Splenium,dti,dti,0.65740335
Splenium,dti,dti,0.6055475
Splenium,dti,dti,0.5459155
Splenium,dti,dti,0.4584633
Splenium,dti,dti,0.73830223
Splenium,dti,dti,0.7953266
Splenium,dti,dti,0.7885695
Splenium,dti,dti,0.77923095
Splenium,dti,dti,0.7611145
Splenium,dti,dti,0.7349148
Splenium,dti,dti,0.6955661
Splenium,dti,dti,0.651413
Splenium,dti,dti,0.60323393
Splenium,dti,dti,0.5300959
Splenium,dti,dti,0.4427751
Splenium,dti,dti,0.8294128
Splenium,dti,dti,0.7917057
Splenium,dti,dti,0.7547953
Splenium,dti,dti,0.7177466
Splenium,dti,dti,0.68049496
Splenium,dti,dti,0.6366988
